image,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
0,[[[[4.860506663817432e-08]]]],[[[[4.860506663817432e-08]]]],[[[[4.860506663817432e-08]]]],[[[[4.860506663817432e-08]]]],[[[[4.860506663817432e-08]]]],[[[[4.860506663817432e-08]]]],[[[[4.860506663817432e-08]]]],[[[[4.860506663817432e-08]]]],[[[[4.860506663817432e-08]]]],[[[[4.860506663817432e-08]]]]
1,[[[[1.1805349231508444e-06]]]],[[[[1.1805349231508444e-06]]]],[[[[1.1805349231508444e-06]]]],[[[[1.1805349231508444e-06]]]],[[[[1.1805349231508444e-06]]]],[[[[1.1805349231508444e-06]]]],[[[[1.1805349231508444e-06]]]],[[[[1.1805349231508444e-06]]]],[[[[1.1805349231508444e-06]]]],[[[[1.1805349231508444e-06]]]]
2,[[[[2.61568487758268e-07]]]],[[[[2.61568487758268e-07]]]],[[[[2.61568487758268e-07]]]],[[[[2.61568487758268e-07]]]],[[[[2.61568487758268e-07]]]],[[[[2.61568487758268e-07]]]],[[[[2.61568487758268e-07]]]],[[[[2.61568487758268e-07]]]],[[[[2.61568487758268e-07]]]],[[[[2.61568487758268e-07]]]]
3,[[[[5.380699690249457e-07]]]],[[[[5.380699690249457e-07]]]],[[[[5.380699690249457e-07]]]],[[[[5.380699690249457e-07]]]],[[[[5.380699690249457e-07]]]],[[[[5.380699690249457e-07]]]],[[[[5.380699690249457e-07]]]],[[[[5.380699690249457e-07]]]],[[[[5.380699690249457e-07]]]],[[[[5.380699690249457e-07]]]]
4,[[[[1.7765929442248307e-05]]]],[[[[1.7765929442248307e-05]]]],[[[[1.7765929442248307e-05]]]],[[[[1.7765929442248307e-05]]]],[[[[1.7765929442248307e-05]]]],[[[[1.7765929442248307e-05]]]],[[[[1.7765929442248307e-05]]]],[[[[1.7765929442248307e-05]]]],[[[[1.7765929442248307e-05]]]],[[[[1.7765929442248307e-05]]]]
